Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,arch_vgpr,accum_vgpr,sgpr,wave_size,sig,obj,SQ_LDS_BANK_CONFLICT,SQ_WAVES
10,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1}>(at::TensorIteratorBase&, at::native::direct_copy_kernel_cuda(at::TensorIteratorBase&)::{lambda()#3}::operator()() const::{lambda()#7}::operator()() const::{lambda(float)#1} const&)::{lambda(int, bool)#1}) [clone .kd]",1,0,10,10120,10120,16777216,128,0,0,20,4,80,64,0x0,0x7a277c875b00,0,262144
11,"__amd_rocclr_fillBufferAligned.kd",1,0,11,10120,10120,256,256,0,0,12,4,48,64,0x0,0x7a30cd1e3580,0,4
12,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::MaxNanFunctor<float> >, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::func_wrapper_t<float, at::native::MaxNanFunctor<float> >, unsigned int, float, 4, 4>) [clone .kd]",1,0,12,10120,10120,155648,512,2560,0,28,4,80,64,0x0,0x7a277c2185c0,0,2432
13,"__amd_rocclr_copyBuffer.kd",1,0,13,10120,10120,512,512,0,0,16,0,32,64,0x7a2f805ff680,0x7a30cd1e3600,0,8
14,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int, bool)#1}) [clone .kd]",1,0,14,10120,10120,16777216,128,0,0,28,4,64,64,0x0,0x7a2764664540,0,262144
15,"void at::native::vectorized_elementwise_kernel<4, at::native::AbsFunctor<float>, std::array<char*, 2ul> >(int, at::native::AbsFunctor<float>, std::array<char*, 2ul>) [clone .kd]",1,0,15,10120,10120,4194304,256,0,0,24,0,32,64,0x0,0x7a277df15c80,0,65536
16,"__amd_rocclr_fillBufferAligned.kd",1,0,16,10120,10120,256,256,0,0,12,4,48,64,0x0,0x7a30cd1e3580,0,4
17,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4> >(at::native::ReduceOp<float, at::native::MeanOps<float, float, float, float>, unsigned int, float, 4, 4>) [clone .kd]",1,0,17,10120,10120,155648,512,2560,0,28,4,80,64,0x0,0x7a2702017f80,0,2432
18,"__amd_rocclr_copyBuffer.kd",1,0,18,10120,10120,512,512,0,0,16,0,32,64,0x7a2f805ff600,0x7a30cd1e3600,0,8
19,"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float> > const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::BinaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float> > >(at::TensorIteratorBase&, at::native::BinaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float> > const&)::{lambda(int, bool)#1}) [clone .kd]",1,0,19,10120,10120,8388608,128,0,0,52,4,64,64,0x0,0x7a27018703c0,0,131072
20,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<float, float, float, at::native::binary_internal::MulFunctor<float> >, std::array<char*, 2ul>) [clone .kd]",1,0,20,10120,10120,4194304,256,0,0,24,0,32,64,0x0,0x7a2700e4a280,0,65536
21,"void at::native::vectorized_elementwise_kernel<4, at::native::AbsFunctor<float>, std::array<char*, 2ul> >(int, at::native::AbsFunctor<float>, std::array<char*, 2ul>) [clone .kd]",1,0,21,10120,10120,4194304,256,0,0,24,0,32,64,0x0,0x7a277df15c80,0,65536
22,"void at::native::vectorized_elementwise_kernel<4, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul> >(int, at::native::CUDAFunctorOnSelf_add<float>, std::array<char*, 2ul>) [clone .kd]",1,0,22,10120,10120,4194304,256,0,0,28,4,32,64,0x0,0x7a2764664280,0,65536
23,"void at::native::elementwise_kernel_manual_unroll<128, 4, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::CUDAFunctor_add<float> >(at::TensorIteratorBase&, at::native::CUDAFunctor_add<float> const&)::{lambda(int, bool)#1}) [clone .kd]",1,0,23,10120,10120,16777216,128,0,0,28,4,64,64,0x0,0x7a2764664540,0,262144
24,"void at::native::vectorized_elementwise_kernel<4, at::native::AbsFunctor<float>, std::array<char*, 2ul> >(int, at::native::AbsFunctor<float>, std::array<char*, 2ul>) [clone .kd]",1,0,24,10120,10120,4194304,256,0,0,24,0,32,64,0x0,0x7a277df15c80,0,65536
25,"void at::native::vectorized_elementwise_kernel<4, at::native::AbsFunctor<float>, std::array<char*, 2ul> >(int, at::native::AbsFunctor<float>, std::array<char*, 2ul>) [clone .kd]",1,0,25,10120,10120,4194304,256,0,0,24,0,32,64,0x0,0x7a277df15c80,0,65536
26,"void at::native::vectorized_elementwise_kernel<4, at::native::AUnaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float> >, std::array<char*, 2ul> >(int, at::native::AUnaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float> >, std::array<char*, 2ul>) [clone .kd]",1,0,26,10120,10120,4194304,256,0,0,24,0,32,64,0x0,0x7a2701870500,0,65536
27,"void at::native::vectorized_elementwise_kernel<4, at::native::BinaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<float, float, bool, at::native::(anonymous namespace)::CompareEqFunctor<float> >, std::array<char*, 3ul>) [clone .kd]",1,0,27,10120,10120,4194304,256,0,0,40,0,32,64,0x0,0x7a2701870300,0,65536
28,"void at::native::vectorized_elementwise_kernel<16, at::native::BinaryFunctor<bool, bool, bool, at::native::binary_internal::MulFunctor<bool> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<bool, bool, bool, at::native::binary_internal::MulFunctor<bool> >, std::array<char*, 3ul>) [clone .kd]",1,0,28,10120,10120,4194304,256,0,0,36,4,80,64,0x0,0x7a2700e4b400,0,65536
29,"void at::native::elementwise_kernel_manual_unroll<128, 8, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::CompareFunctor<float> >(at::TensorIteratorBase&, at::native::(anonymous namespace)::CompareFunctor<float> const&)::{lambda(int, bool)#1}>(int, at::native::gpu_kernel_impl_nocast<at::native::(anonymous namespace)::CompareFunctor<float> >(at::TensorIteratorBase&, at::native::(anonymous namespace)::CompareFunctor<float> const&)::{lambda(int, bool)#1}) [clone .kd]",1,0,29,10120,10120,8388608,128,0,0,52,4,64,64,0x0,0x7a26e0232040,0,131072
30,"void at::native::vectorized_elementwise_kernel<16, at::native::BinaryFunctor<bool, bool, bool, at::native::BitwiseAndFunctor<bool> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<bool, bool, bool, at::native::BitwiseAndFunctor<bool> >, std::array<char*, 3ul>) [clone .kd]",1,0,30,10120,10120,4194304,256,0,0,36,4,80,64,0x0,0x7a26dfa54b00,0,65536
31,"void at::native::vectorized_elementwise_kernel<16, at::native::BinaryFunctor<bool, bool, bool, at::native::BitwiseOrFunctor<bool> >, std::array<char*, 3ul> >(int, at::native::BinaryFunctor<bool, bool, bool, at::native::BitwiseOrFunctor<bool> >, std::array<char*, 3ul>) [clone .kd]",1,0,31,10120,10120,4194304,256,0,0,36,4,32,64,0x0,0x7a26dfa56300,0,65536
32,"__amd_rocclr_fillBufferAligned.kd",1,0,32,10120,10120,256,256,0,0,12,4,48,64,0x0,0x7a30cd1e3580,0,4
33,"void at::native::reduce_kernel<512, 1, at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4, 4> >(at::native::ReduceOp<bool, at::native::func_wrapper_t<bool, at::native::and_kernel_cuda(at::TensorIterator&)::{lambda()#1}::operator()() const::{lambda()#12}::operator()() const::{lambda(bool, bool)#1}>, unsigned int, bool, 4, 4>) [clone .kd]",1,0,33,10120,10120,155648,512,1024,12,28,4,80,64,0x0,0x7a26df422500,0,2432
34,"__amd_rocclr_copyBuffer.kd",1,0,34,10120,10120,512,512,0,0,16,0,32,64,0x7a2f805ff580,0x7a30cd1e3600,0,8
35,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,35,10120,10120,1048576,256,16384,0,100,4,32,64,0x0,0x7a3066d40600,0,16384
36,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,38,10120,10120,4194304,256,0,0,12,4,32,64,0x0,0x7a277d42e300,0,65536
37,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,39,10120,10120,1048576,256,16384,0,100,4,32,64,0x0,0x7a3066d40600,0,16384
38,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,40,10120,10120,4194304,256,0,0,12,4,32,64,0x0,0x7a277d42e300,0,65536
39,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,41,10120,10120,1048576,256,16384,0,100,4,32,64,0x0,0x7a3066d40600,0,16384
40,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,42,10120,10120,4194304,256,0,0,12,4,32,64,0x0,0x7a277d42e300,0,65536
41,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,43,10120,10120,1048576,256,16384,0,100,4,32,64,0x0,0x7a3066d40600,0,16384
42,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,44,10120,10120,4194304,256,0,0,12,4,32,64,0x0,0x7a277d42e300,0,65536
43,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,45,10120,10120,1048576,256,16384,0,100,4,32,64,0x0,0x7a3066d40600,0,16384
44,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,46,10120,10120,4194304,256,0,0,12,4,32,64,0x0,0x7a277d42e300,0,65536
45,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,47,10120,10120,1048576,256,16384,0,100,4,32,64,0x0,0x7a3066d40600,0,16384
46,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,50,10120,10120,1048576,256,16384,0,100,4,32,64,0x0,0x7a3066d40600,0,16384
47,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,51,10120,10120,1048576,256,16384,0,100,4,32,64,0x0,0x7a3066d40600,0,16384
48,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,52,10120,10120,1048576,256,16384,0,100,4,32,64,0x0,0x7a3066d40600,0,16384
49,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,53,10120,10120,1048576,256,16384,0,100,4,32,64,0x0,0x7a3066d40600,0,16384
50,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,54,10120,10120,1048576,256,16384,0,100,4,32,64,0x0,0x7a3066d40600,0,16384
51,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,55,10120,10120,1048576,256,16384,0,100,4,32,64,0x0,0x7a3066d40600,0,16384
52,"void at::native::vectorized_elementwise_kernel<4, at::native::FillFunctor<int>, std::array<char*, 1ul> >(int, at::native::FillFunctor<int>, std::array<char*, 1ul>) [clone .kd]",1,0,56,10120,10120,4194304,256,0,0,12,4,32,64,0x0,0x7a277d42e300,0,65536
53,"matmul(std::bfloat16_t*, std::bfloat16_t*, float*) [clone .kd]",1,0,58,10120,10120,1048576,256,16384,0,100,4,32,64,0x0,0x7a3066d40600,0,16384
